"NETWORTH","WGT","YEAR"
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2900000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2800000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2700000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2600000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2500000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2400000000,1,2019
2300000000,1,2019
2300000000,1,2019
2300000000,1,2019
2300000000,1,2019
2300000000,1,2019
2300000000,1,2019
2300000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2200000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
2100000000,1,2019
